Gender,Age,Alcohol Consumed,Fatigued,Time of day,Raining,Accident
Male,53,No,No,Daylight,No,No
Female,39,Yes,Yes,Nighttime,Yes,No
Female,20,Yes,No,Nighttime,No,No
Male,54,No,Yes,Nighttime,No,No
Male,48,Yes,No,Nighttime,Yes,No
Male,61,No,No,Daylight,No,No
Female,44,No,No,Nighttime,Yes,No
Female,32,No,No,Daylight,Yes,No
Female,25,No,Yes,Daylight,Yes,No
Female,30,Yes,No,Nighttime,Yes,No
Male,68,Yes,No,Daylight,No,No
Male,52,Yes,Yes,Daylight,No,Yes
Male,43,No,Yes,Nighttime,Yes,No
Female,70,Yes,Yes,Nighttime,No,No
Female,32,Yes,Yes,Daylight,Yes,No
Male,68,No,Yes,Nighttime,No,No
Male,19,Yes,Yes,Nighttime,No,No
Male,19,No,No,Daylight,No,Yes
Male,65,No,No,Nighttime,No,No
Female,28,Yes,Yes,Nighttime,Yes,No
Female,62,No,Yes,Daylight,No,No
Male,63,Yes,Yes,Nighttime,Yes,No
Male,45,Yes,Yes,Daylight,No,No
Male,20,No,Yes,Daylight,Yes,No
Female,45,No,Yes,Nighttime,Yes,No
Female,21,Yes,No,Daylight,No,Yes
Male,70,Yes,Yes,Nighttime,Yes,No
Male,30,Yes,Yes,Daylight,No,Yes
Male,60,Yes,No,Daylight,No,No
Female,26,Yes,No,Daylight,No,Yes
Male,19,Yes,No,Nighttime,Yes,Yes
Male,62,Yes,Yes,Nighttime,No,No
Female,54,No,Yes,Nighttime,Yes,No
Female,51,Yes,No,Nighttime,Yes,Yes
Male,38,No,No,Nighttime,Yes,No
Female,27,Yes,No,Nighttime,No,No
Male,49,Yes,Yes,Daylight,Yes,No
Male,68,No,Yes,Nighttime,Yes,No
Male,50,No,No,Daylight,No,No
Male,59,No,No,Daylight,No,No
Male,62,No,Yes,Nighttime,Yes,No
Female,41,Yes,Yes,Daylight,Yes,Yes
Male,31,Yes,No,Daylight,Yes,No
Male,46,Yes,No,Nighttime,No,Yes
Female,65,No,No,Daylight,No,Yes
Male,59,Yes,Yes,Nighttime,Yes,Yes
Male,25,Yes,Yes,Nighttime,No,No
Female,52,Yes,Yes,Nighttime,Yes,Yes
Male,52,No,No,Nighttime,No,Yes
Female,27,Yes,Yes,Nighttime,No,Yes
Male,25,No,Yes,Daylight,No,No
Male,58,No,Yes,Daylight,Yes,No
Male,31,No,Yes,Daylight,No,No
Male,20,Yes,No,Nighttime,Yes,No
Male,49,No,Yes,Nighttime,Yes,Yes
Male,35,Yes,No,Daylight,Yes,Yes
Male,30,No,Yes,Daylight,No,No
Female,49,Yes,No,Daylight,No,No
Male,42,No,No,Daylight,No,No
Male,48,No,No,Nighttime,Yes,No
Male,59,Yes,Yes,Nighttime,Yes,No
Male,37,No,No,Nighttime,No,No
Male,25,No,No,Daylight,Yes,No
Female,57,No,No,Nighttime,No,No
Male,61,Yes,No,Nighttime,Yes,No
Male,42,Yes,Yes,Nighttime,Yes,No
Male,70,Yes,Yes,Daylight,No,Yes
Female,59,No,No,Daylight,No,No
Female,67,No,No,Daylight,Yes,No
Male,43,Yes,No,Daylight,No,No
Male,61,Yes,No,Daylight,No,No
Female,40,Yes,No,Nighttime,Yes,No
Male,57,Yes,No,Daylight,Yes,No
Male,69,Yes,No,Nighttime,No,No
Male,40,No,Yes,Nighttime,Yes,No
Female,49,No,Yes,Nighttime,Yes,No
Male,69,No,No,Daylight,Yes,No
Female,51,No,No,Daylight,Yes,No
Male,68,No,No,Nighttime,No,No
Male,45,Yes,Yes,Nighttime,Yes,No
Male,50,No,Yes,Daylight,No,Yes
Female,49,Yes,No,Daylight,No,No
Male,46,Yes,No,Daylight,No,No
Male,32,No,No,Nighttime,No,No
Male,25,Yes,Yes,Nighttime,No,Yes
Male,53,Yes,Yes,Daylight,Yes,Yes
Male,30,No,No,Nighttime,Yes,Yes
Male,29,Yes,No,Daylight,No,No
Female,67,No,Yes,Nighttime,No,No
Female,38,No,No,Daylight,Yes,Yes
Female,43,Yes,Yes,Nighttime,Yes,No
Female,70,Yes,No,Daylight,Yes,No
Male,26,No,Yes,Nighttime,No,Yes
Male,34,No,No,Daylight,No,No
Female,52,No,Yes,Daylight,No,No
Male,63,No,No,Daylight,No,No
Male,56,Yes,Yes,Daylight,No,No
Female,50,Yes,Yes,Nighttime,No,No
Female,64,No,No,Nighttime,Yes,No
Female,40,No,No,Daylight,Yes,No
Male,39,Yes,No,Daylight,No,No
Male,65,Yes,Yes,Nighttime,Yes,No
Male,50,No,No,Nighttime,Yes,No
Female,68,Yes,Yes,Daylight,Yes,No
Female,23,Yes,No,Nighttime,No,No
Male,30,No,No,Daylight,No,No
Female,35,Yes,No,Daylight,Yes,Yes
Male,31,Yes,No,Daylight,Yes,Yes
Male,25,Yes,No,Daylight,No,No
Male,60,No,No,Nighttime,No,No
Male,24,No,Yes,Nighttime,Yes,No
Female,70,Yes,Yes,Daylight,Yes,No
Male,23,Yes,No,Daylight,No,No
Female,67,Yes,Yes,Nighttime,Yes,No
Female,29,No,Yes,Daylight,Yes,No
Male,70,Yes,No,Daylight,Yes,Yes
Female,23,No,Yes,Daylight,No,No
Female,19,No,No,Daylight,No,Yes
Female,57,No,No,Nighttime,Yes,No
Male,41,No,Yes,Daylight,No,Yes
Female,66,No,No,Nighttime,Yes,No
Female,56,No,No,Nighttime,Yes,Yes
Female,28,No,No,Nighttime,Yes,Yes
Male,48,Yes,No,Nighttime,No,No
Male,33,Yes,Yes,Nighttime,Yes,Yes
Female,33,No,No,Nighttime,No,No
Male,66,Yes,No,Nighttime,No,No
Female,30,No,No,Daylight,Yes,No
Female,48,No,No,Nighttime,No,No
Male,47,No,No,Daylight,Yes,No
Male,46,No,Yes,Daylight,Yes,Yes
Male,57,No,Yes,Daylight,No,No
Female,58,Yes,Yes,Daylight,No,No
Male,24,Yes,Yes,Nighttime,Yes,No
Male,22,No,Yes,Daylight,No,Yes
Female,60,No,Yes,Daylight,Yes,No
Female,45,No,Yes,Daylight,Yes,No
Male,41,No,No,Nighttime,Yes,Yes
Male,27,Yes,No,Daylight,Yes,No
Male,23,Yes,Yes,Nighttime,Yes,No
Female,19,No,Yes,Daylight,Yes,No
Male,33,Yes,No,Nighttime,Yes,Yes
Female,53,Yes,Yes,Nighttime,Yes,No
Female,52,Yes,Yes,Nighttime,No,Yes
Male,37,Yes,Yes,Daylight,Yes,No
Male,51,Yes,No,Nighttime,Yes,No
Male,55,Yes,No,Nighttime,No,No
Male,34,No,Yes,Nighttime,No,No
Female,57,No,Yes,Nighttime,Yes,No
Male,67,No,Yes,Nighttime,No,No
Male,68,No,Yes,Nighttime,Yes,No
Male,31,Yes,Yes,Daylight,Yes,No
Female,43,Yes,No,Daylight,Yes,No
Female,47,Yes,Yes,Nighttime,No,No
Male,44,No,Yes,Nighttime,No,No
Male,25,Yes,Yes,Daylight,Yes,No
Male,31,No,Yes,Nighttime,No,No
Female,54,No,No,Nighttime,No,No
Female,40,No,No,Nighttime,Yes,No
Female,60,No,Yes,Daylight,Yes,No
Male,46,No,No,Nighttime,Yes,No
Male,33,No,Yes,Daylight,Yes,No
Male,34,Yes,Yes,Daylight,Yes,No
Female,65,Yes,Yes,Nighttime,Yes,No
Female,50,Yes,Yes,Daylight,No,No
